Sentence,Type
ওই হমন্দির পুত বাংলাদেশ রান না করতে পারলে রেন্ডিয়ারে তো বাংলাদেশ রানে অলআউট করতো,Yes
এই সব মহিলা দের কে ছবি তুলে ইচ্ছে মতো মরিচ লাগিয়ে দেন যাইগা মতো পুলিশ ভায়েরা ,Yes
বিশ্বের অষ্টম জনবসতির দেশ হয়েও বাংলাদেশ নিজে একটা আলপিনও বানাতে পারেনা এরা পণ্য ভারত থেকে আমদানি করে  এছাড়া ভারতের টিভি চ্যানেল বাংলা হিন্দি গান ও সিনেমা ওখানে সবথেকে বেশী চলে আমাদের ভারত,Yes
তোদের মত ফালতু লোক আমাদের কালচার নষ্ট করছে ,Yes
চুল মডেল এইটা  দেখলেই রাগ উঠে ,Yes
শালা মূর্খ ভারতের আরমি,Yes
রেন্ডিয়ার দালালরা যতদিন থাকবে এদেশে ততদিন সাধারন মানুষে শান্তি হবেনা,Yes
শালী একটা মাগী অতিবিশিষ্ট  দের ছুদা দেয়   ,Yes
ভিডিও বানানোর আর কোনো কিছু পাও না বুঝি  তাই এখন আসছো হুদাই ফাইজলামি করতে,Yes
কিন্তু এটা ভারতের হয়ে জাবে কিছুদিন,Yes
তুর মেয়ে মাগী চোদার কামাই ,Yes
ভারত এর টাকা রে চুদি,Yes
মায়ানমারের বাইঞ্চুদের মনে হয় এক একটারে পায়ের নিচে দিয়া পিষ্যা ফালাই ,Yes
 এটা ফাসিঁ বলদের ঘরে বলদ ,Yes
মাহি ছৌঃ পরিবার বাটপার   ,Yes
যতসব নোংরা বেপার উপস্থাপন করে ,Yes
তোরে হাতের কাছে পাইলে জুতা দিয়ে পিটাইতাম বেয়াদব মেয়ে,Yes
সেই ভারতীয় হাতির খবর কি বিবিসি বাংলা,Yes
ভারত এর এত চুলকাই কেরে ফনিন তদের এত জলে কেরে,Yes
যোগ্যতাকে মর্যাদা ও সম্মান দেখাতে শিখুন নিজেও সম্মানিত হোন,Yes
ম্যাডম খালেদা জিয়া কোনো দিনও জিততে পারবেনা এবারেও শেখ হাসিনার কাছে হেরে ভূত হয়ে যাবে খালেদা ম্যাডম মিলিয়ে নেবেন,Yes
মাগি মা তো লাইফে আসেনা মাগি না হলে লাইফে কন   ,Yes
পাকিস্তান আর বাংলাদেশ মিলে আমাকে ১ সাহপ্তাহর জন্য রাজা বানাও আমি রেন্ডীয়াকে উডাই দীবো,Yes
তোর মা তো যুদ্ধের সময় পাকস্তানে ভালোই আরাম আয়েশ করেছে,Yes
এই মাজিদ তুই কেরে তোর কি মাথা ঠিক আছেরে নাকি তুই কোন মালাউন ভুয়া আইডি চালাস শালা সাড়ে হারামজাদা কোথাকার ,Yes
ওর কথার দরনই ভালো না ,Yes
আরে শূয়োর তোর নামের শেষে রহমান  তা তুই বদলাস না কেন  ইসলাম নিয়া এত চুলকায় আর ইসলামী নাম রাখার কারনে তোর চুলাকায় না,Yes
কিরে তুই কি পাবলিকের কমেন্ট পড়স না তোরে তো কেউ দেখতেই পারে না ,Yes
কুলদীপ নায়ার বিশিষ্ট ভারতীয় সাংবাদিক এই জন্য ভারতের পর রাষ্ট্র নীতির কড়া সমালোচনা করতে গিয়ে বলেছেন ,Yes
কাশ্মীরে কুত্তার মতো মারখেয়ে চলেছে ভারত তাই জাতির দৃষ্টিকে ভিন্নদিকে ঘুরানোর জন্য নতুন প্লান মালাউন গুলারে ধোকা দেয়ার সামিল,Yes
 খালেদা জিয়াকে গে্ফতার করলে দেশে গৃহ যুধধে পরিনত হবে তখন সরকার পালানোর সুযোগ পাবেনা  ,Yes
অবৈধ ভারতীয় ধরে গন ধোলাই দেয়া উচি,Yes
এমন পিতাকে ফাসি দিয়ে হত্যা করলেও মেয়ের প্রতিশোধ পূর্ন হবে না ,Yes
হানিফ সাহেব কুত্তালীগ জয়ী হতে সেনাবাহিনীর দরকার নাই,Yes
ভারত আমাদের দেশটা ডংশ করে দিচ্ছে হাসিনা খমতার লোভে কিছু দেখে না ভারত আমাদের গার্মেন্টস শিলপ ডংশ করছে,Yes
ভারত কাউকে টাকার জিনিস দিতে বার ঢেকুর গিলে পাশাপাশি গুন লাভের হিসেব কশাকশি তো আছেই,Yes
দেখি আপনার মান ইজ্জত কত বড়   নাকি ফাক করে ফেলাইচে অন্য কেউ   শালা লটির দালাল   তুই কি মেজো নাকি   তুই মেজো বলেই তো তুই খানকি   তার জন্যই তো তোর লাগতেছে   খানকি মাগি,Yes
ওর বোদায় বশি দিয়া বিদায়া টান দেয়া হোক ,Yes
বিরাট কুত্তার বাচ্চাটা ব্যাটসম্যান হিসেবে যতোটা ভাল চরিত্রটা ততোটাই খারাপ  এই কুত্তার বাচ্চার মায়েরে মনে হয় রেন্ডিয়ার কতগুলা নেড়িকুত্তা গণধর্ষন করে বীর্য দিয়ে ভরে দিয়েছিল  তারপর কুত্তার বাচ্চার মা এইটারে জন্ম দিয়েছে,Yes
উনি রাজাকার কখন হলেন জামায়াতের আমির হওয়ার আগে এই কথা কেউ বলেননি নাটকে ও ছিনেমাতে যেবাবে চরিত্র তৈরি করা হয় এখানে ও তার প্রতি পলন দেখা যাচ্ছে,Yes
ভারত আমাদের পরীক্ষিত বন্ধু শুধুমাত্র মুক্তিযুদ্ধে সাহায্য করেছিল বলেই কি,Yes
খানকি মাগির পুত সাজু পাদেন রে মহিলারা জুতার বাডি দিল না ক্যারে ,Yes
পাকিস্তানের ঘুম হবে ভারতের টিভি চ্যানেল না দেখলে ,Yes
জই মালাউনের জই মালুর পুটিকি মার,Yes
আল্লাহ ম্যাজিক এর মতো কাজ করে না আল্লাহ ভুয়া,Yes
শুয়োরের বাচ্চা মুসলিমরা,Yes
কাঠমোল্লা জাকের নাইকের জুতার সমান মুল্য তোর নাই  ,Yes
রাজাকার মুক্ত গোপালগঞ্জ দেখতে চাই,Yes
আমাদের সরকার আপনাদের সাথেই আছে সাথে আছে আমাদের মাননিয় প্রধান মন্ত্রীও  ,Yes
কুত্তার বাচ্চা বাবা নামে কলঙ্ক  ওকে ফাসিতে ঝুলিয়ে মারা উচিত  ,Yes
আগামীকাল দশ বছরের শিশুকে যদি জামায়াতের আমির বানাই তার বিরুদ্ধেও যুদ্ধাপরাধির তদন্ত শুরু হবে এবং প্রমান হবে সে রাজাকার ,Yes
মহা ভারত যা কিনা আনেক বড় একটা জোড় ছিল তা ব্রিটিশরা আলাদা করে দিয়ে গেছে ,Yes
এই তো এক ভিখারির বাচ্চা এসে গেছে   এর ভাগে টাকা পড়ে নাই কেউ এই রেন্ডিয়ান ভিখারিকে টাকা দিয়ে বিদায় করো  ,Yes
খানকির পোলা আবাল থেকে উঠে আসছে তো তাই এই ধরনের মন মানুষিকতা,Yes
জেসালারা তারেকে গালি দেয় তারা সালারা বাপ চারা,Yes
আজাইরা যেটা পারো না সেটা চেস্টা করো কেন হুদাই,Yes
টয়া মাগী ফালতু ,Yes
ব তে বিমান তুই রাজাকার তুই রাজাকার  ,Yes
কনডম নিয়ে আইছোতো,Yes
গরুর মুতের পুজারি  উলংগ নারীদের মূর্তির পূজারি,Yes
যে জায়গায় মূক্তিযোদ্ধারা না খেয়ে মানবতর জীবন যাপন করছে সে জায়গা ভারত প্রীতি আওয়ামিরা বাংলাদেশে পাচার করার কৌশল অবলম্বন করছে  যাতে বাংলাদেশকে ভারতে অঙ্গ রাজ্য বানাতে কোন ব্যাক পেতে হবে না  ,Yes
বাংলার বুকে যত লীগ সব ভারতের দালাল আর গোলাম,Yes
দূর্গা মা কে তখন সেই মুসলি আলী জোরে জোরে চুদতে লাগলো,Yes
ইহুদিরা অনেক ভয়ংকর,Yes
 নিজের দলের ভেতর রাজাকারের বিচার করে না কেন ,Yes
ভোদাটা কি ঠোটের মতো সুন্দর ,Yes
হাচিনা মাগির যখন বিষ মাথাই উঠে তখন ভারত যাই চা বেপারি মদির কাছে চোদা দিয়া আসে আকাটার চোদা খাই আসে নাস্তিক মাগি,Yes
সব গুলো আজাইরা ভিডিও এক সাথে করে নিজে ফায়দা লুটে নিলেন ,Yes
হিন্দু ধর্ম বলে কথা এখন ভারত কে খুসি করার জনন এই কাজ করতেছে কোন মুসলিম এই কাজ করবে না আমি মানি না এটা একটা সাজানো চাল,Yes
এই কুত্তার বাচ্চা ক্ষমতায় আসলে দেশের ইতিহাস নষ্ট করে ফেলবে,Yes
এটা একটা রায় হলো হেগো রে ফাসি হওয়া উচিত ছিলো ,Yes
কাবা শরিফের উপর যে মালাওন কুকুর বাচ্চা মুরতি ছবি দিইয়েছে তাকে ফাসি তে জুলিয়ে মৃতু দেওয়া হোক,Yes
পাগল দেশ মিয়ানমার আর আজব সবসকাজ করে এ দেশটি ,Yes
খানকির ছেলে আমাদের টাকা কই,Yes
তোমরা এভাবে একে অপরকে দোষারোপ করতেছ এটা কি ঠিক না বেঠিক তোমরাই বল  ভারত বা বাংলাদেশ আমরা যে দেশেই থাকি না কেন আমরা সবাই তো মানুষ তাই না  অত এব ঝগরা করো না মিলেমিশে থাকার চেষ্টা করো সবাই ,Yes
ভারতে কুকুর মারা গেলেও সমবেদনা জানাবে আর মিয়ানমারে এতো মুসলীম মারার পরেও জবাব নাই,Yes
আমরা বাংলাদেশিরাই এশিয়ার চ্যাম্পিয়ন হয়েছি চোরের বাচ্চা ভারতের মত আম্পায়রে সাহায্য নিয়া জিতি নাই,Yes
ভারত নিজের সার্থ ছারা বাংলাদেশে কখনো আসেনি আমাদের সবার সজাগ থাকতে হবে ,Yes
যেই দিন বাস্টার্ড ভারত চুরি করবে না সেই দিন ভারত কোন দিন বাংলাদেশের সাথে ম্যাচ জিতবে না,Yes
খানকি মাগি রে পেলে কুচি কুচি করে কেটে কুত্তা দিয়ে খাওয়াতাম,Yes
মালাউন কা বাচ্চা কোয়ি নেহী আচ্চা যো ভী আচ্চা ও ভী শুয়ারের বাচ্চা,Yes
একবার ভেবে দেখের সালে যদি ভারত বর্ডার না খুলে দিতো তাহলে কি হতো আপনার দলের নেতা কর্মীদের আমরা আর সোনার বাংলা পেতাম না  ইদ্রিস শেরপুর বগুড়া,Yes
এসব কি বলে আসলে সে মাগি বাজ ,Yes
 এই শালা মালাউনের বাচচ্চাবলে কি রে,Yes
মাগি টারে দেখলে পর্ণ স্টার এর মতে লাগে ,Yes
 কুকুর কখনো ভালো হয় না কুত্তালীগের কুত্তামি যাবেনা ,Yes
ফইন্নি ভারতের সাথে বাংলাদেশের তুলনা মানে সোনার সাথে কাদার তুলনা,Yes
পয়দা হওয়ার পর যত গালী শিখছি সব ওর স্পর্শীয়ার গুদে দিয়ে দেব ,Yes
এই মাদারচুদ যে লোককে দেখালি সে মুসলিমনা সে ইহুদি সে দাড়ি রেখে এই সব নাটক করে আমরা সব বুজি ,Yes
নরসিংদীর চোদা দিতে হইবো  তাহলে তুই ঠিক হইবে মাগী,Yes
বাংলাদেশে রোহিংগার সংখা কত  আশ্রয় শিবিরে বৈধ প্রায় হাজার  দেশ স্বাধিনতার পর থেকে অবৈধ প্রায় লাখ রোহিংগা থাকে বাংলাদেশে  তথ্য সংগৃহিতো ,Yes
কুত্তার গলায় মুক্তোর মালা যেমন সুচির গলায় তেমন লাগে তাই ওর কাছে নোবেল পুরস্কার মানাই না ,Yes
খানকি বেশ্যা মাগী নর্তকী নটিনী বার্মার মুসলিম গনহত্যা বন্ধের আবেদন না করে কুকুরের মত লেজ গুটিয় আছিস কাফেরের বাচ্ছা,Yes
তোরা কি আাবাসিকে চোদা দেস  তর ভুদা দিয়ে বাশ দিমু মাগি খানকি মাগি  তরে হাতি দিয়ে চুদামি মাগি,Yes
 তোগো ধর্ম নেতা কৃষ্ন ঐ মাগির পোলায় তো জাতীয় চুচ্চা আবার তোরা করস যৌন পূজা   তোগ ধর্ম নেতারা বলে নারী হচ্ছে ভোগের বস্তু তার মানে তোর মা বোনদের জায়গা ফাক সালা মালাউনের বাচ্চা ,Yes
মালাউনেরা তো চোর একাতুরের পর বাংলাদেশর সব মুলবান সম্পদ চুরি করেছে রাতারাতি  ,Yes
বা্ংলাদেশ ও ভারতে জনগণ শুধু নাসিরনগর নিয়ে আছে,Yes
মালাউনের গেষ্ঠি না খেললে ওদের ক্রিকেটের সর্বোচ্চ সংস্থা থেকে বহিষ্কার করা হউক ,Yes
মালটা অনেক জটিল,Yes
পাক ভারত যুদ্ধ করবে না কুস্তি খেলবে ঐটা তাদের ব্যাপার,Yes
কুত্তালীগের কাছে আমার প্রশ্ন পুলিশ মরলে জনগন এত খুশি হয় কেন,Yes
পারলে সবার দোষ তুলে ধরেন  ধন্যবাদ,Yes
আওয়ামিলিগ খুনি গুম দরষন কারি   ,Yes
ভারত আগুন লাগিয়ে দিয়ে ফায়ার সার্ভিস নিয়ে নেভাতে আসছে   বাহ,Yes
সাজু কুত্তার বাচ্চা ওর জন্ম পতিতালয়ে  মাদারচোদ ,Yes
আমার মনে হয় তোর জন্মের ঠিক নাই কারণ তুই হইলি রেন্ডিয়ার নাম্বার দালাল তাই গাজা খোরের মত বকতেছস,Yes
হাসিনা কে দিলে একদিনে পাকিসতান দখলে নিবে ভারত  ,Yes
তার মায়ের ভারতের কোন পাতিতালয়ের পসল   শালা মলাউনের বাচ্চা  ,Yes
বলিনাই  আমি বলেছি অবৈধ ভারতীয়দের যাদের পরিমাণ প্রায় দুলক্ষ,Yes
ভারতীয় সকুনদের এখন দেশপ্রেমের স্লোগান নেই কেনো ,Yes
এই শালিকে একন ভাল করে চুদাতে হবে পা কাদে নিয়ে খানকি  ,Yes
জাতীয় দলে আসার পথে একটি বিরাট বাধার কাজ করবে,Yes
এই কুত্তার বাচ্চা এটা কি ইংলিশ অনুষ্টান মাদাদর চোদ,Yes
বাঘের সাতে লাগতে যাও শিয়ালের বাচ্চা হইয়া মালাউনরা  ,Yes
মালাউনদের নাকে মুকে মাথায় পাছায় বুকে পিঠে সব জায়গায় গুলি কর ,Yes
হাহাহাহা আসতেছে রেন্ডিয়া গরুর মুত রাখ বালতি ভরিয়া ,Yes
শালা রেন্ডিয়ানরা নিজেদের ভাষায় কথাই বলতে পারে না আবার ছাগলের বাচ্চার মত লাফাই ,Yes
আর সরকার কোটি টাকা ভারতে ঢেলে দিচ্ছে  ,Yes
রাশিয়া কখনো ভারতের কাছে অস্র বেচবেনা ,Yes
সালা করোম চোদ তারেক জিয়ার বৌ কি দুরনীতি করছে তার নামে মামলা,Yes
নোয়াখালীর মাগী তরার পরোষরা সব আরব দেশ গুলোতে তাকে  আর তদের বাড়ি তাকে পাকা এই সুযোগে তরা হয়ে উটছ বাংলাদেশের সবার ছেয়ে বড় মাগী  ,Yes
যতোই ভাল খেলুক সে হলো রাজাকারের বংশ ,Yes
মায়ন মারের মুসলিমদের কোন খবর নাই ভারত নিয়ে মেতে আছ না হিন্দু ,Yes
তোরা ত সব জানতা অতই জানতা ত হিন্দু দের কেন তারাছিস সালা মোল্লা,Yes
তখন কার প্রেক্ষাপট ছিল ভিন্ন  তখন কার দিনে ভারত সীমান্তে মানুষ হত্যা করত না ,Yes
আমার মনে হয় মোদি জামায়াত শিবির  ,Yes
খানকির পত্রিকার এডমিন বেইশ্যার দালাল,Yes
মাগী সরম নাই সোনাটা দেখাবি মন চাইলে ,Yes
দু দি নেই রাজাকার কমান্ডার হ য়ে গেল,Yes
তুমার কতা সিনে আমার চুদার কতা মনে পড়লো  অনেক সুন্দর,Yes
বিচারক মহিলাটা তো দেখতে ইদুরের মত আবার অন্য মেয়েদের কাপড় নিয়ে কথা বলে,Yes
আমি পাকিস্তান কে অনুরোদ করি ভারত কে আগুন দিয়ে জাল্লাও ভারতে আমার মুসলিম নিজ্জতন হয়,Yes
তোর মা ভালো না তুই আর কতটুক ভালো হবে শালা,Yes
এ যেনো ভারতীয় শকুন থেকে বাংলাদেশের মানচিত্রের জামিন হয়েছে ,Yes
সয়তানের কাজ ভালকে খারাপ করা আর ভারতের হিন্দু সয়তানেরা তাই শুরু করছে,Yes
মাগি তোকে পেটে দরচে সে ভড় মাগি,Yes
হযরত বৌদ্ধ  শালা ছাগল,Yes
খানকির বাচ্চা তারেক জিয়া,Yes
সবগুলো বোকা চোদা,Yes
হে আল্লাহ! এ হুজুরকে শতায়ু দান করুন -যাতে তিনি পথভ্রষ্ট মানুষকে কোরআন-হাদিস ও ইজমা-কিয়াসের আলোকে সঠিক পথের সন্ধান দিতে পারেন।হুজুর যেনো জীবন্ত ইসলামি বিশ্বকোষ!!!,No
আলহাদুলিল্লাহ খুব ভাল আলোচনা। এরকম শিক্ষণীয় বক্তব্য বর্তমান সময়ে খুব প্রয়োজন সমাজের জন্য । ধন্যবাদ শাইখ,No
অবৈধ সম্পর্ক থেকে বাঁচার জন্য তাড়াতাড়ি বিয়ে করা উচিত।,No
মাশাআল্লাহ অসাধারণ ওয়াজ।,No
আলহামদুলিল্লাহ  আল্লাহ  পাক  আপনাকে  নেক হায়াত দান করুক আমিন,No
এই ওয়াজ টা শুনে অনেক উপকৃত হইলাম আমি একটা রিলেশন এ ছিলাম কিন্তু অফ করতে পারতাছিলাম না এহন ইনশাআল্লাহ আমি সঠিক টা বুজতে পারছি।,No
আপনি সত্যি আমাদের লক্ষ্মীপুরের অহংকার। ,No
আপনাকে আড়াই মাস আগে সরাসরি দেখে অনেক আনন্দিত হয়েছি প্রিয় শায়েখ।,No
আল্লাহর জন্য আমি ও এই হারাম রিলেশন থেকে ফিরে আসছি আল্লাহ আমাকে সাহায্য কর,No
অত্যন্ত প্রয়োজনীয় এবং জীবনঘনিষ্ঠ বিষয় জানতে পেরে অনেক উপকৃত হলাম,No
আল্লাহ আমাদের ক্ষমা করুন প্রেম করে বিয়ে করেছি আল্লাহর কাছে এই চাওয়া আল্লাহ যেন আমাদের ক্ষমা করে দেন।,No
আল্লাহ তায়ালা আমাদের কে বুঝার তৌফিক দান করুন আমিন।,No
প্রতি টা প্রশ্নের জবাব  সাথে সাথে  বললে ভালো  হবে,No
আগে আমি অনেক পৌর্ণ দেখতাম এখন বাদ দিয়ে দিছি ইনশাআল্লাহ,No
আসসালামু আলাইকুম । আমার যাকাত যোগ্য গহনা আছে। কিন্তু ইনকাম  নাই। আমি যদি  আমার কিছু অল্প পুড়ানো ২/৩ বার পড়া কাপড়  যাকাত হিসাবে দেই।কেনা দামের কম মূল্য ধরে তাহলে কি যাকাত আদায় হবে?,No
পিতা ও মাতার হক কি ভাবে আদায় করবো,No
শায়খ আহমাদুল্লাহ হুজুরকে কিভাবে প্রশ্ন করতে হয় আশা করি বলবেন প্লিজ,No
বিয়েতে ইসলামিক কনসার্ট জায়েজ আছে কি?,No
বিয়ের আগে শারীরিক সম্পর্কের মাধ্যমে গর্ভে সন্তান আসার পর বিয়ে করলে সেই সন্তান কি হবে?,No
অসাধারণ বুঝার স্টাইল। আপনার ফ্রী সব লেকচার ভিডিও  দেখেছি। এখন আমি পেইড কোর্স করতে আগ্রহী,No
"শক্তিশালী সে, যে রাগের সময় নিজেকে নিয়ন্ত্রণে রাখতে পারে।",No
বাংলাদেশের নাটকের চাহিদা বাড়ছে ভারতের বাংলাভাষী দর্শকদের মাঝে।,No
অসম্ভব সুন্দর একটি নাটক। ধন্যবাদ নির্মাতাকে এত সুন্দর একটি নাটক আমাদের সবাইকে উপহার দেবার জন্য,No
পরিচালক কে ধন্যবাদ নায়িকা ছাড়া নাটক বানানোর জন্য ,No
"কমেডিয়ান সবাই থাকলে,নায়িকা ছাড়া নাটক হিট,,,,হাহাহা ৩ বার দেখলাম।",No
মজা পাইছি প্রচুর,No
সকলের ভালোবাসায় এগিয়ে যাচ্ছে বাংলা নাটক ইন্ডাস্ট্রি। ,No
আপনারা সবাই সব সময় এভাবেই বাংলা নাটকের সাথে থাকুন।  ধন্যবাদ সবাইকে,No
আজকের ধামাকা হবে,No
বাংলাদেশের নাটক দেখার নেশাতে কবে কবে ভুলেই গেছি যে ইন্ডিয়াতে সিরিয়াল হয়,No
আতঙ্ক নাটকটি আসলেই কাকতালীয় ড্রামা কেমিস্ট্রি এক্সিলেন্স অভিনয় দেখে হাসতে হাসতে পেটে বেথা করলাম এবং মজা মজা পাইতে পাইতে দাঁত কেলিয়ে শেষ করলাম ধন্যবাদ,No
নাটক দেখার আগেই কমেন্ট করলাম।এক কথায় অসাধারণ একটি নাটক,No
তাদের নাটক অনেক ভালোলাগে তাদের জোটি অনেক সুন্দর  মারজোক রাসেল এবং চাষি আলম এবং তানজিম হাসান অনিক ভাইদের নাটক আর চাই,No
হাত ধরে কিছুক্ষন চলার নাম ভালোবাসা নাহ।  ছায়া হয়ে সারাজীবন পাশে থাকাই ভালোবাসা।,No
মারজুক রাসেল ভাই আতঙ্ক অভিনয় সত্যি মুগ্ধ করেছে ধন্যবাদ,No
এই সিরিজের আরও এরকম নাটক চাই।,No
"আমি তাদেরকে ধন্যবাদ জানাই,  যারা এত কষ্ট করে ডাবিং করেছেন। আবারও ধন্যবাদ এবং শুভকামনা আপনাদের জন্য",No
দিরিলিস আরত্রুগুল এভাবে দিলে খুশি হবো,No
"কয়েক মাস আগে এই সিরিজটা দেখছিলাম,,,, এখন আবার দেখতে আসলাম ",No
সুলতান সুলেমান এর মতো এতো সুন্দর নিখুত অভিনয় আর কোনো সিরিয়ালে নেই । এতো সুন্দর  বাংলা ডাবিং আর এতো সুন্দর অভিনয় মনে হচ্ছে বাস্তব কাহিনি দেখছি,No
"আমি অনেক পছন্দ করি, সুলতান আর হুররমের জুটি,,চোখে লেগে থাকার মতো।",No
তুরকি সিরিজ গুলো র মধ্যে উসমান নাটক সবচেয়ে বেশি উপযোগী।।। ইসলাম কে অনেক সুন্দর ভাবে তুলে ধরা হয়েছে।।। তারপর এই সিরিজ,No
ইউটিউবে দেওয়ার জন্য অনেক ধন্যবাদ। আরো অনেক ধন্যবাদ সুলতান সুলেমানের ইন্ট্রো দেয়ার জন্য,No
 নিগারের এই কথাগুলোতেই হুররাম হয় সুলতানের সম্ম্রাজ্ঞী,No
অনেক সুন্দর হয়েছে নাটকটি জারাই অভিনয় করেছেন  তাদেরকে ধন্যবাদ জানাই কিন্তু  ইতিহাস বলে  সুলতান সুলেমান  এরকম ছিলেন না এই নাটকে তার ইতিহাস নিয়ে মজা করা হয়েছে,No
এবার দিয়ে ৬ বার দেখা হবে আমার! এতো ভালো লাগে কেনো,No
প্রতিটি পর্বে আলাদা থাম্বনেইল ব্যাবহার করুন। এতে আপনাদের ভিউ বাড়বে।,No
আমি অনেক দিন ধরে অপেক্ষায় ছিলাম। এখন পেয়ে অনেক খুশি।দীপ্তি টিভিকে অনেক অনেক ধন্যবাদ।,No
"দিরিলিস আর্তুগ্রুল,  বাংলা ডাবিং সিজন ৩ এর জন্য অপেক্কা করছি, ৪ দিন ধরে আমার ভালোই লাগছে না,২ সিজন পর্যন্ত যতটা দিন দেখছি মনটা খুবই ভালো লাগছিল,",No
আমার অনেক পছন্দের ,No
আপনাদের সকলের ভালোবাসায় আমি কিছুটা সফল হয়েছি | ,No
দিপ্ত টিভিতে প্রচারিত ৩/৪ টা নাটকই এখানে পাওয়া যাচ্ছে... কিন্তু ফাতমাগুল নাটকটা কোথাও বাংলায় পাচ্ছি না...দয়া করে ফাতমাগুল নাটকটা এইখানে দিলে খুশি হতাম।,No
মাশাআল্লাহ অনেক সুন্দর হইছে এভাবে প্রতিটি পর্ব আপলোড দিয়ে জান,No
দীপ্ত টিভিকে অসংখ্য ধন্যবাদ।,No
যে যাই বলুক আমি আপনাদের সৃজশীলতা খুবই পছন্দ করেছি ।,No
বাহার টা পাচ্ছি না কেন? প্লিজ বাহারটা দেন । অনেক দিন অপেক্ষা করেছি,No
আমার প্রিয় চ্যানেল দীপ্ত টিভি,No
সুলতান সুলেমান কোসেম যদি আপলোড করতেন । খুব ভাল হত।,No
"আমি এটার প্রথম ২ পর্ব দেখে যা দেখলাম যে, সুলতান সুলেমানের চরিত্রকে প্রশ্নবিদ্ধ করা হয়েছে। তাই এটা বিকৃত ইতিহাস কিনা সে বিষয়ে আমি শঙ্কিত। আমাকে একটু এবিষয়ে ধারণা দিবেন?",No
ট্রেন্ডিং'এ থাকবে এটা আর এখন সাবস্ক্রাইবার ও বেড়ে যাবে। প্রতিদিন চাই,No
যতটা হাসিখুশি দিয়ে শুরু হয় তারচেয়ে অনেক কষ্ট  দিয়ে শেষ হয়। ,No
আপনাদের কে আল্লাহ্ ভালো  রাখুক দোয়া করি আর আপনাদের কে জানাই অনেক অনেক  ধন‍্যবাদ সুলতান সুলেমান আবারও দেয়ার জন্য  ,No
সুলতান সুলেমান সব পর্ব আজ শেষ করে আবার প্রথম থেকে শুরু করলাম ,No
দিরিলিস আরতুগ্ররুল সব সিজন ডাবিং করলে আরো জনপ্রিয় হবে কিন্তু......,No
হুররামের মৃত্যু পর্ব দেখার পর আর বাকি পর্ব গুলা দেখতে মন চাচ্ছে না তাই প্রথম থেকে আবার দেখবো ,No
প্রতিটি পর্ব আপলোড দিবেন।,No
"ও আল্লাহ!  প্রতিটি মৃত্যুই আমাকে কাঁদিয়েছে, বেগম সুলতানা, ইব্রাহিম পাশা, শাহজাদা মোস্তফা, মেহমেদ জাহাঙ্গীর, বিয়াজিদ সবার মৃত্যু এত এত কষ্টের ছিলো",No
আপনারা যেই জায়গাতে শেষ করলেন তাকে অবশ্যই প্রশংসনীয় বলতেই হয় ।,No
সুলতান সুলেমান ইউটিউব চ্যানেলে ছাড়ার জন্য আপনাকে কোটি কোটি ধন্যবাদ,No
এই তাহলে সেই ভূবনমোহিনী হুররাম সুলতান।,No
সুলতান সুলেমান আমার দেখতে খুব ভালো লাগে,No
এমন একটা সময় ছিল আপনাদের চ্যানেল প্রস্তাব ইউটিউবে শুধু সুলতান সুলেমান দেখার জন্য একবার দেখে ফেলেছি টিভিতে,No
জননী জন্মভূমি সিজন ২ প্রচার করলে বেশি খুশি হতাম।,No
আবারো চলে এলাম সুলতান সুলেমানের টানে,No
সবগুলো পর্ব দিবেন প্লিজ একটু একটু করে,No
দীপ্ত তে বাংলায় ওসমান নাটক দেখতে চাই প্লিজ,No
কয়েক দিন আগে শেষ করলাম সিরিজটা।আবার দেখতে ইচ্ছে করছে,No
"সোলতান সুলেমান, প্রথম একবার দেখলাম ভাল লাগলো, আজ থেকে শুরু করলাম, ",No
খুবই ভালো।  সুলতান সুলেমান কোসেম দেওয়ার অনুরোধ করছি।,No
 ধন্যবাদ এতো সুন্দর করে ডাবিং করার জন্য,No
বাহার এর পর্ব গুলো দেয়ার কথা ছিলো কিন্তু দেয়া হচ্ছে না ,No
এসব কাহিনী থেকে আমাদের অনেক কিছু শিখার আছে,No
"আগের ইন্ট্রোটা ভালো ছিলো,টিভিতে যখন দেখতাম শরীরে এক শিহরণ বয়ে যেতো।",No
থ্যাংক ইউ ভাইয়া অনেক অপেক্ষায় ছিলাম,No
"আমি পুরো সিরিজ টা শেষ করে পুনরায় এটা প্রথম থেকে দেখতে চলেছি, আর কোনো সিরিজ আমার এতটা প্রিয় নয়।",No
"প্রথম দেখে ছিলাম অনেক কষ্ট করে, আশা করি সব গুলো পর্ব দেখতে পারবো।",No
একবার দেখা শেষ আবার শুরু করছি দেখা ,No
আমার মত আবেগপ্রবণ মানুষের পক্ষে সবগুলো দেখার সাহস হয় নি 😥,No
অনেক অনেক ধন্যবাদ যারা এটাকে বাংলায় অনুবাদ করে ইউটিউবে আমাদের দেখার সুযোগ করে দিয়েছেন অসংখ্য ধন্যবাদ।,No
পরবর্তী পর্বের অপেক্ষায় রইলাম,No
"এক বার পুরা সিরিজটা দেখে শেষ করলাম।এখন আবার দেখতে আসলাম।সত্যিই অসাধারণ দেখার মত একটা সিরিজ,যা শুধু বারবার দেখতেই মনে চায়।",No
